"Player	Team	Pos	Injury	Status	Est. Return"
"Nick Franklin	PIT	2B	Hamstring	Out	Subscribers Only"
"Austin Franklin	TB	P	Undisclosed	7-Day IL	Subscribers Only"
"Todd Frazier	NYM	3B	Oblique	10-Day IL	Subscribers Only"
"Michael Fulmer	DET	P	Elbow	60-Day IL	Subscribers Only"
"Kevin Gadea	TB	P	Undisclosed	7-Day IL	Subscribers Only"
"Bryan Garcia	DET	P	Elbow	7-Day IL	Subscribers Only"
"Jake Gatewood	MIL	1B	Knee	7-Day IL	Subscribers Only"
"Scooter Gennett	CIN	2B	Groin	10-Day IL	Subscribers Only"
"Frank German	NYY	P	Elbow	Out	Subscribers Only"
"Ian Gibaut	TB	P	Lat	7-Day IL	Subscribers Only"
"Steven Gingery	STL	P	Elbow	Out	Subscribers Only"
"Koda Glover	WAS	P	Forearm	10-Day IL	Subscribers Only"
"Erik Goeddel	FA	P	Elbow	Out	Subscribers Only"
"Luiz Gohara	ATL	P	Shoulder	7-Day IL	Subscribers Only"
"Stephen Gonsalves	MIN	P	Elbow	7-Day IL	Subscribers Only"
"Bengie Gonzalez	WAS	SS	Undisclosed	7-Day IL	Subscribers Only"
"Miguel Gonzalez	FA	P	Shoulder	Out	Subscribers Only"
"Nick Gordon	MIN	SS	Illness	7-Day IL	Subscribers Only"
"Diego Goris	FA	2B	Suspension	Suspension	Subscribers Only"
"Daniel Gossett	OAK	P	Elbow	60-Day IL	Subscribers Only"
"Kendall Graveman	CHC	P	Elbow	60-Day IL	Subscribers Only"
"Hunter Greene	CIN	P	Elbow	Out	Subscribers Only"
"Luke Gregerson	STL	P	Shoulder	10-Day IL	Subscribers Only"
"Didi Gregorius	NYY	SS	Elbow	60-Day IL	Subscribers Only"
"Jay Groome	BOS	P	Elbow	7-Day IL	Subscribers Only"
"Vladimir Guerrero Jr.	TOR	3B	Oblique	Out	Subscribers Only"
"Jandel Gustave	SF	P	Elbow	Out	Subscribers Only"
"Ronald Guzman	TEX	1B	Hamstring	10-Day IL	Subscribers Only"
"Josh Hader	MIL	P	Rest	Day-To-Day	Subscribers Only"
"Luke Hagerty	CHC	P	Elbow	Out	Subscribers Only"
"Jesse Hahn	KC	P	Elbow	60-Day IL	Subscribers Only"
"Nick Hanson	CIN	P	Elbow	Out	Subscribers Only"
"Monte Harrison	MIA	OF	Wrist	Day-To-Day	Subscribers Only"
"Austin Hays	BAL	OF	Thumb	Out	Subscribers Only"
"Andrew Heaney	LAA	P	Elbow	10-Day IL	Subscribers Only"
"Scott Heineman	TEX	OF	Shoulder	60-Day IL	Subscribers Only"
"Ben Heller	NYY	P	Elbow	60-Day IL	Subscribers Only"
"Michael Hermosillo	LAA	OF	Groin	10-Day IL	Subscribers Only"
"Osvaldo Hernandez	SD	P	Shoulder	7-Day IL	Subscribers Only"
"Marco Hernandez	BOS	2B	Shoulder	10-Day IL	Subscribers Only"
"Felix Hernandez	SEA	P	Illness	Day-To-Day	Subscribers Only"
"Carlos Hernandez	KC	P	Ribs	Out	Subscribers Only"
"Ronald Herrera	TEX	P	Groin	7-Day IL	Subscribers Only"
"Chris Herrmann	OAK	C	Knee	60-Day IL	Subscribers Only"
"Jimmy Herron	CHC	OF	Elbow	Out	Subscribers Only"
"Aaron Hicks	NYY	OF	Back	10-Day IL	Subscribers Only"
"Rich Hill	LAD	P	Knee	10-Day IL	Subscribers Only"
"Brock Holt	BOS	2B	Eye	10-Day IL	Subscribers Only"
"Brent Honeywell	TB	P	Elbow	7-Day IL	Subscribers Only"
"James Hoyt	CLE	P	Knee	Out	Subscribers Only"
"Jordan Humphreys	NYM	P	Elbow	Out	Subscribers Only"
"Tommy Hunter	PHI	P	Elbow	10-Day IL	Subscribers Only"
"Andy Ibanez	TEX	2B	Oblique	Out	Subscribers Only"
"Gregory Infante	BAL	P	Illness	Day-To-Day	Subscribers Only"
"Travis Jankowski	SD	OF	Wrist	60-Day IL	Subscribers Only"
"Wander Javier	MIN	SS	Quadriceps	Out	Subscribers Only"
"Jon Jay	CWS	OF	Hip	10-Day IL	Subscribers Only"
"Jeremy Jeffress	MIL	P	Shoulder	10-Day IL	Subscribers Only"
"Brian Johnson	BOS	P	Elbow	10-Day IL	Subscribers Only"
"Tyler Johnson	CWS	P	Lat	7-Day IL	Subscribers Only"
"Osiris Johnson	MIA	SS	Leg	Out	Subscribers Only"
"JaCoby Jones	DET	OF	Shoulder	10-Day IL	Subscribers Only"
"James Kaprielian	OAK	P	Shoulder	Out	Subscribers Only"
"Grant Kay	TB	3B	Undisclosed	7-Day IL	Subscribers Only"
"Brett Kennedy	SD	P	Lat	10-Day IL	Subscribers Only"
"Clayton Kershaw	LAD	P	Shoulder	10-Day IL	Subscribers Only"
"Mitchell Kilkenny	COL	P	Elbow	Out	Subscribers Only"
"Franklyn Kilome	NYM	P	Elbow	Out	Subscribers Only"
"Michael King	NYY	P	Elbow	7-Day IL	Subscribers Only"
"Jason Kipnis	CLE	2B	Calf	10-Day IL	Subscribers Only"
"Nathan Kirby	MIL	P	Undisclosed	Out	Subscribers Only"
"Alex Kirilloff	MIN	1B	Wrist	7-Day IL	Subscribers Only"
"Corey Knebel	MIL	P	Elbow	10-Day IL	Subscribers Only"
"Brandon Koch	TB	P	Elbow	7-Day IL	Subscribers Only"
"Tom Koehler	PIT	P	Shoulder	Out	Subscribers Only"
"Michael Kopech	CWS	P	Elbow	60-Day IL	Subscribers Only"
"Dean Kremer	BAL	P	Oblique	Out	Subscribers Only"
"Chad Kuhl	PIT	P	Elbow	60-Day IL	Subscribers Only"
"Jake Lamb	ARI	3B	Quadriceps	10-Day IL	Subscribers Only"
"John Lamb	FA	P	Elbow	Out	Subscribers Only"
"Dinelson Lamet	SD	P	Elbow	60-Day IL	Subscribers Only"
"Janser Lara	KC	P	Undisclosed	Out	Subscribers Only"
"Ramon Laureano	OAK	OF	Thumb	Day-To-Day	Subscribers Only"
"Brett Lawrie	MIL	2B	Undisclosed	7-Day IL	Subscribers Only"
"Randy LeBlanc	MIN	P	Forearm	60-Day IL	Subscribers Only"
"Brandon Leibrandt	PHI	P	Elbow	Out	Subscribers Only"
"Mark Leiter	TOR	P	Elbow	Out	Subscribers Only"
"Jon Lester	CHC	P	Hamstring	Day-To-Day	Subscribers Only"
"Artie Lewicki	ARI	P	Elbow	Out	Subscribers Only"
"Jacob Lindgren	CWS	P	Elbow	Out	Subscribers Only"
"Francisco Lindor	CLE	SS	Ankle	10-Day IL	Subscribers Only"
"Brendon Little	CHC	P	Lat	7-Day IL	Subscribers Only"
"Justin Lopez	SD	SS	Thumb	Day-To-Day	Subscribers Only"
"Aaron Loup	SD	P	Elbow	10-Day IL	Subscribers Only"
"Jed Lowrie	NYM	2B	Knee	10-Day IL	Subscribers Only"
"Jesus Luzardo	OAK	P	Shoulder	Out	Subscribers Only"
"Travis MacGregor	PIT	P	Elbow	Out	Subscribers Only"
"Austin Maddox	BOS	P	Shoulder	Out	Subscribers Only"
"Justin Maese	TOR	P	Shoulder	Day-To-Day	Subscribers Only"
"Matt Magill	MIN	P	Shoulder	10-Day IL	Subscribers Only"
"Sean Manaea	OAK	P	Shoulder	60-Day IL	Subscribers Only"
"Joe Mantiply	CIN	P	Elbow	Out	Subscribers Only"
"Francis Martes	HOU	P	Elbow	Out	Subscribers Only"
"Carlos Martinez	STL	P	Shoulder	10-Day IL	Subscribers Only"
"Nick Martini	OAK	OF	Knee	10-Day IL	Subscribers Only"
"Brian McCann	ATL	C	Hamstring	10-Day IL	Subscribers Only"
"Joe McCarthy	TB	OF	Back	7-Day IL	Subscribers Only"
"Lance McCullers	HOU	P	Elbow	10-Day IL	Subscribers Only"
"T.J. McFarland	ARI	P	Shoulder	10-Day IL	Subscribers Only"
"Jake McGee	COL	P	Knee	10-Day IL	Subscribers Only"
"Alex McKenna	HOU	OF	Hamstring	Out	Subscribers Only"
"Triston McKenzie	CLE	P	Back	Out	Subscribers Only"
"Ryan McMahon	COL	1B	Elbow	10-Day IL	Subscribers Only"
"Yohander Mendez	TEX	P	Elbow	60-Day IL	Subscribers Only"
"Julian Merryweather	TOR	P	Elbow	Out	Subscribers Only"
"Devin Mesoraco	NYM	C	Not Injury Related	Out	Subscribers Only"
"Alex Meyer	LAA	P	Shoulder	Out	Subscribers Only"
"Keynan Middleton	LAA	P	Elbow	60-Day IL	Subscribers Only"
"Daniel Missaki	FA	P	Elbow	Out	Subscribers Only"
"Rafael Montero	TEX	P	Elbow	Out	Subscribers Only"
"Mike Montgomery	CHC	P	Lat	10-Day IL	Subscribers Only"
"Jordan Montgomery	NYY	P	Elbow	60-Day IL	Subscribers Only"
"Matt Moore	DET	P	Knee	10-Day IL	Subscribers Only"
"Andrew Morales	STL	P	Shoulder	Day-To-Day	Subscribers Only"
"Gerson Moreno	DET	P	Elbow	Out	Subscribers Only"
"Logan Morrison	FA	1B	Hip	Out	Subscribers Only"
"Brandon Morrow	CHC	P	Elbow	10-Day IL	Subscribers Only"
"Gabriel Moya	MIN	P	Shoulder	10-Day IL	Subscribers Only"
"Jose Mujica	TB	P	Elbow	7-Day IL	Subscribers Only"
"Daniel Murphy	COL	2B	Finger	10-Day IL	Subscribers Only"
"Daniel Nava	FA	OF	Back	Out	Subscribers Only"
"Jimmy Nelson	MIL	P	Shoulder	10-Day IL	Subscribers Only"
"Angel Nesbitt	FA	P	Suspension	Suspension	Subscribers Only"
"Dovydas Neverauskas	PIT	P	Oblique	10-Day IL	Subscribers Only"
